,BACC,Sensitivity,Specificity,MCC,AUC,Precision,F1 Score,Fold,Accuracy
ykc_pred_xgb_fold2,0.361,0.556,0.167,-0.289,0.361,0.5,0.526,2.0,
ykc_pred_xgb_fold3,0.611,0.889,0.333,0.272,0.611,0.667,0.762,3.0,
ykc_pred_xgb_fold4,0.667,0.667,0.667,0.327,0.667,0.75,0.706,4.0,
ykc_pred_xgb_fold5,0.583,0.667,0.5,0.167,0.583,0.667,0.667,5.0,
yma_pred_xgb_fold1,0.778,0.889,0.667,0.577,0.778,0.8,0.842,1.0,
yma_pred_xgb_fold2,0.472,0.444,0.5,-0.055,0.472,0.571,0.5,2.0,
yma_pred_xgb_fold3,0.694,0.889,0.5,0.431,0.694,0.727,0.8,3.0,
yma_pred_xgb_fold4,0.639,0.778,0.5,0.289,0.639,0.7,0.737,4.0,
yma_pred_xgb_fold5,0.472,0.444,0.5,-0.055,0.472,0.571,0.5,5.0,
ypc_pred_xgb_fold1,0.667,1.0,0.333,0.48,0.667,0.692,0.818,1.0,
ypc_pred_xgb_fold2,0.472,0.444,0.5,-0.055,0.472,0.571,0.5,2.0,
ypc_pred_xgb_fold3,0.611,0.889,0.333,0.272,0.611,0.667,0.762,3.0,
ypc_pred_xgb_fold4,0.75,0.667,0.833,0.491,0.75,0.857,0.75,4.0,
ypc_pred_xgb_fold5,0.611,0.556,0.667,0.218,0.611,0.714,0.625,5.0,
yss_pred_xgb_fold1,0.889,0.778,1.0,0.764,0.889,1.0,0.875,1.0,
yss_pred_xgb_fold2,0.611,0.556,0.667,0.218,0.611,0.714,0.625,2.0,
yss_pred_xgb_fold3,0.528,0.889,0.167,0.08,0.528,0.615,0.727,3.0,
yss_pred_xgb_fold4,0.583,0.667,0.5,0.167,0.583,0.667,0.667,4.0,
yss_pred_xgb_fold5,0.75,0.667,0.833,0.491,0.75,0.857,0.75,5.0,
ysc_pred_xgb_fold1,0.639,0.778,0.5,0.289,0.639,0.7,0.737,1.0,
ysc_pred_xgb_fold2,0.611,0.556,0.667,0.218,0.611,0.714,0.625,2.0,
ysc_pred_xgb_fold3,0.444,0.889,0.0,-0.218,0.444,0.571,0.696,3.0,
ysc_pred_xgb_fold4,0.667,0.667,0.667,0.327,0.667,0.75,0.706,4.0,
ysc_pred_xgb_fold5,0.5,0.667,0.333,0.0,0.5,0.6,0.632,5.0,
ycj_pred_xgb_fold1,0.556,0.778,0.333,0.123,0.556,0.636,0.7,1.0,
ycj_pred_xgb_fold2,0.5,0.667,0.333,0.0,0.5,0.6,0.632,2.0,
ycj_pred_xgb_fold3,0.389,0.778,0.0,-0.32,0.389,0.538,0.636,3.0,
ycj_pred_xgb_fold4,0.694,0.556,0.833,0.389,0.694,0.833,0.667,4.0,
ycj_pred_xgb_fold5,0.556,0.444,0.667,0.111,0.556,0.667,0.533,5.0,
y_pred_stacked,0.556,0.711,0.4,0.115,0.556,0.64,0.674,,0.587
